benchmark,selectivity_pct,n_ops,method,build_time,qps,recall,avg_insert_ms,avg_delete_ms
dynamic_update,1.0,1000,ACORN-1,1.6463487148284912,120.63035346474646,0.9986999999999999,30.903409719467163,10.233116865158081
dynamic_update,1.0,1000,ACORN-4,5.033393621444702,159.421290207818,0.49000000000000005,33.70827674865723,10.807322263717651
dynamic_update,1.0,1000,ACORN-8,6.917792081832886,169.57391678057698,0.25930000000000003,34.4189190864563,10.19349193572998
dynamic_update,1.0,1000,ACORN-12,9.4443039894104,169.80242648460288,0.1476,35.28992772102356,10.349403381347656
dynamic_update,1.0,1000,Pre-Filter,0.17027807235717773,886.347206106012,1.0,0.0047454833984375,0.003382444381713867
dynamic_update,1.0,1000,Post-Filter-Batch100,0.8054184913635254,68.07301202138416,0.7823000000000001,0.004433393478393555,0.0028257369995117188
dynamic_update,5.0,1000,ACORN-1,1.6869044303894043,122.10966924361308,0.9996,31.394195318222046,10.044327974319458
dynamic_update,5.0,1000,ACORN-4,5.126520395278931,159.1609297876437,0.6782,33.2278892993927,10.4339599609375
dynamic_update,5.0,1000,ACORN-8,6.710245609283447,165.63374879880797,0.6191000000000001,34.0483603477478,9.786625385284424
dynamic_update,5.0,1000,ACORN-12,9.241384029388428,165.63422628615785,0.6316000000000002,34.86269164085388,10.046067953109741
dynamic_update,5.0,1000,Pre-Filter,0.17119979858398438,190.21934365114578,1.0,0.007563352584838867,0.004118204116821289
dynamic_update,5.0,1000,Post-Filter-Batch100,0.7997162342071533,70.63420591578382,0.9702000000000001,0.00570225715637207,0.003420114517211914
dynamic_update,10.0,1000,ACORN-1,1.6367874145507812,121.0821651536294,0.9992000000000001,30.923593044281006,10.059001445770264
dynamic_update,10.0,1000,ACORN-4,5.3398051261901855,157.57072258146002,0.7242000000000001,32.60324192047119,10.676740646362305
dynamic_update,10.0,1000,ACORN-8,6.803921461105347,162.71745928391584,0.6874,33.496092796325684,9.638539552688599
dynamic_update,10.0,1000,ACORN-12,8.9253249168396,159.74953210757624,0.7558,34.566304206848145,10.054113626480103
dynamic_update,10.0,1000,Pre-Filter,0.15882062911987305,103.9657454475401,1.0,0.008706808090209961,0.004361152648925781
dynamic_update,10.0,1000,Post-Filter-Batch100,0.8600625991821289,72.54318921230552,0.9879000000000001,0.006720066070556641,0.003644704818725586
dynamic_update,20.0,1000,ACORN-1,1.6456773281097412,121.17604820735285,0.997,31.08102583885193,10.22966980934143
dynamic_update,20.0,1000,ACORN-4,5.106597900390625,155.83116675349333,0.6842999999999999,32.8028450012207,10.581396102905273
dynamic_update,20.0,1000,ACORN-8,6.853598117828369,157.4072572921489,0.7899,33.75477695465088,9.783231496810913
dynamic_update,20.0,1000,ACORN-12,9.522949457168579,156.33275456388483,0.8284000000000001,34.888439655303955,10.249563694000244
dynamic_update,20.0,1000,Pre-Filter,0.15463876724243164,58.34981542817564,1.0,0.009858369827270508,0.004385948181152344
dynamic_update,20.0,1000,Post-Filter-Batch100,0.8040645122528076,71.85541545412303,0.9952000000000001,0.007391214370727539,0.003734588623046875
dynamic_update,50.0,1000,ACORN-1,1.659956455230713,127.69623820874344,0.9684,30.94408345222473,10.037420272827148
dynamic_update,50.0,1000,ACORN-4,5.108780860900879,151.8574175958057,0.8238000000000001,32.627647399902344,10.469201803207397
dynamic_update,50.0,1000,ACORN-8,6.669673681259155,132.9377522730185,0.79,34.160733461380005,9.85332441329956
dynamic_update,50.0,1000,ACORN-12,9.56063461303711,152.9306056389675,0.8085000000000001,35.042988777160645,10.29255986213684
dynamic_update,50.0,1000,Pre-Filter,0.13461089134216309,28.733489836610637,1.0,0.010248422622680664,0.004217386245727539
dynamic_update,50.0,1000,Post-Filter-Batch100,0.7820274829864502,78.83921152593099,0.997,0.0086517333984375,0.0038995742797851567
dynamic_update,1.0,5000,ACORN-1,1.744614839553833,106.13897390708556,0.9983200000000001,32.38472790718078,10.353841733932496
dynamic_update,1.0,5000,ACORN-4,9.014344453811646,156.85323254447286,0.46053999999999995,33.88165488243103,10.85882863998413
dynamic_update,1.0,5000,ACORN-8,6.9672627449035645,165.94096428830258,0.22527999999999998,35.02131190299988,10.130562591552735
dynamic_update,1.0,5000,ACORN-12,14.243741750717163,159.69177776326077,0.22974,36.446836948394775,10.623507595062256
dynamic_update,1.0,5000,Pre-Filter,0.1705474853515625,903.9638809628358,1.0,0.004651975631713867,0.003280925750732422
dynamic_update,1.0,5000,Post-Filter-Batch100,0.8232033252716064,58.043956699213616,0.78136,0.004468536376953125,0.002740907669067383
